image,latitude,longitude
"data/streetviews/UA/48.92006000000001,38.392320000000005.jpg",48.92006000000001,38.392320000000005
"data/streetviews/UA/50.172810000000005,27.03368.jpg",50.172810000000005,27.03368
"data/streetviews/UA/47.56479,31.329050000000002.jpg",47.56479,31.329050000000002
"data/streetviews/UA/51.67038,33.912380000000006.jpg",51.67038,33.912380000000006
"data/streetviews/UA/49.76477,27.188679999999998.jpg",49.76477,27.188679999999998
"data/streetviews/UA/46.86142,33.66033.jpg",46.86142,33.66033
"data/streetviews/UA/49.22809,31.30132.jpg",49.22809,31.30132
"data/streetviews/UA/50.74705,25.31679.jpg",50.74705,25.31679
"data/streetviews/UA/50.3832,25.70785.jpg",50.3832,25.70785
"data/streetviews/UA/49.42371,30.55004.jpg",49.42371,30.55004
"data/streetviews/UA/51.67822,33.9162.jpg",51.67822,33.9162
"data/streetviews/UA/50.610110000000006,25.10206.jpg",50.610110000000006,25.10206
"data/streetviews/UA/49.37141,26.959699999999998.jpg",49.37141,26.959699999999998
"data/streetviews/UA/50.16512,27.068649999999998.jpg",50.16512,27.068649999999998
"data/streetviews/UA/47.82129,31.19398.jpg",47.82129,31.19398
"data/streetviews/UA/51.83715,33.596590000000006.jpg",51.83715,33.596590000000006
"data/streetviews/UA/49.38898,26.97428.jpg",49.38898,26.97428
"data/streetviews/UA/49.1544,31.07454.jpg",49.1544,31.07454
"data/streetviews/UA/47.85056,30.94123.jpg",47.85056,30.94123
"data/streetviews/UA/50.314840000000004,26.88433.jpg",50.314840000000004,26.88433
"data/streetviews/UA/47.07513,32.2029.jpg",47.07513,32.2029
"data/streetviews/UA/50.278830000000006,26.834979999999998.jpg",50.278830000000006,26.834979999999998
"data/streetviews/UA/50.60775,27.36241.jpg",50.60775,27.36241
"data/streetviews/UA/50.54381,24.8524.jpg",50.54381,24.8524
"data/streetviews/UA/50.75932,25.34244.jpg",50.75932,25.34244
"data/streetviews/UA/51.86084,33.469210000000004.jpg",51.86084,33.469210000000004
"data/streetviews/UA/50.12288,27.468049999999998.jpg",50.12288,27.468049999999998
"data/streetviews/UA/47.11862,32.22111.jpg",47.11862,32.22111
"data/streetviews/UA/49.4377,26.98041.jpg",49.4377,26.98041
"data/streetviews/UA/51.855920000000005,33.496170000000006.jpg",51.855920000000005,33.496170000000006
"data/streetviews/UA/50.76858,25.25967.jpg",50.76858,25.25967
"data/streetviews/UA/47.69064,31.27722.jpg",47.69064,31.27722
"data/streetviews/UA/50.400380000000006,25.75979.jpg",50.400380000000006,25.75979
"data/streetviews/UA/49.94262,27.461769999999998.jpg",49.94262,27.461769999999998
"data/streetviews/UA/49.32987,30.78879.jpg",49.32987,30.78879
"data/streetviews/UA/49.45368,26.97035.jpg",49.45368,26.97035
"data/streetviews/UA/49.41029,38.15035.jpg",49.41029,38.15035
"data/streetviews/UA/48.01574,30.8669.jpg",48.01574,30.8669
"data/streetviews/UA/48.02794,30.84484.jpg",48.02794,30.84484
"data/streetviews/UA/49.41203,26.945059999999998.jpg",49.41203,26.945059999999998
"data/streetviews/UA/47.46519,31.478170000000002.jpg",47.46519,31.478170000000002
"data/streetviews/UA/48.995470000000005,37.721680000000006.jpg",48.995470000000005,37.721680000000006
"data/streetviews/UA/46.75451,33.34864.jpg",46.75451,33.34864
"data/streetviews/UA/49.370599999999996,26.964879999999997.jpg",49.370599999999996,26.964879999999997
"data/streetviews/UA/49.17165,30.866789999999998.jpg",49.17165,30.866789999999998
"data/streetviews/UA/49.75002,27.20094.jpg",49.75002,27.20094
"data/streetviews/UA/51.6486,34.122550000000004.jpg",51.6486,34.122550000000004
"data/streetviews/UA/50.62369,26.65052.jpg",50.62369,26.65052
"data/streetviews/UA/50.6589,26.63523.jpg",50.6589,26.63523
